['12 историй о настоящей любви (сборник)'],2016
['Герой-романтик'],2017
['Герцог-сердцеед'],2007
['Гимн моей любви'],2017
['Гирлянды поцелуев'],2012
['Главная роль'],No data
['Главное - это диван! (СИ)'],No data
['Главные слова'],2005
['Главный приз'],2010
['Главный приз — любовь'],2013
['Глаза в глаза'],No data
['Глаза любви'],2015
['Глаза цвета страсти'],2003
['Глори из Техаса'],No data
['Глоток обжигающей зимы (новогодняя миниатюра)'],2008
['Глубокая страсть'],No data
['Глубокий шрам'],No data
['Глупое сердце'],1994
['Говори мне о любви'],No data
"['Говорят,под Новый Год... (СИ)']",2004
['Годы мечты'],2008
['Голливудская мечта'],2004
['Головная боль в наследство'],2014
['Голос любви'],No data
['Голос любви'],No data
['Голос одинокого сердца'],2009
['Голос рассудка'],1996
['Голос сердца'],2007
['Голоса весны'],2019
['Голубоглазый ангел'],2006
['Голубые холмы Синтры'],1996
['Гони из сердца месть'],2016
['Горбатая гора'],1996
['Горбатая гора'],2002
['Горбатая гора'],2007
['Гордая женщина'],2013
['Гордость и Предубеждение'],2004
